embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
JKT,001,7301,CGK,PK-GIH,MED,01052025,1745,02052025,0315,773
JKT,001,7401,MED,PK-GIH,CGK,02052025,0445,02052025,1510,773
JKT,002,7302,CGK,PK-GIH,MED,02052025,0045,02052025,1015,773
JKT,002,7402,MED,PK-GIH,CGK,02052025,1145,02052025,2210,773
JKT,003,7303,CGK,PK-GIH,MED,02052025,1600,03052025,0130,773
JKT,003,7403,MED,PK-GIH,CGK,03052025,0300,03052025,1325,773
JKT,004,7304,CGK,PK-GIH,MED,02052025,2155,03052025,0725,773
JKT,004,7404,MED,PK-GIH,CGK,03052025,0855,03052025,1920,773
JKT,005,7305,CGK,PK-GIH,MED,03052025,0430,03052025,1400,773
JKT,005,7405,MED,PK-GIH,CGK,03052025,1530,04052025,0155,773
JKT,006,7306,CGK,PK-GIH,MED,03052025,1800,04052025,0330,773
JKT,006,7406,MED,PK-GIH,CGK,04052025,0500,04052025,1525,773
JKT,007,7307,CGK,PK-GIH,MED,04052025,0030,04052025,1000,773
JKT,007,7407,MED,PK-GIH,CGK,04052025,1130,04052025,2155,773
JKT,008,7308,CGK,PK-GIH,MED,04052025,0840,04052025,1810,773
JKT,008,7408,MED,PK-GIH,CGK,04052025,1950,05052025,0615,773
JKT,009,7309,CGK,PK-GIH,MED,05052025,0205,05052025,1135,773
JKT,009,7409,MED,PK-GIH,CGK,05052025,1335,05052025,0000,773
JKT,010,7310,CGK,PK-GIH,MED,05052025,0840,05052025,1810,773
JKT,010,7410,MED,PK-GIH,CGK,05052025,1950,06052025,0615,773
JKT,011,7311,CGK,PK-GIH,MED,05052025,1500,06052025,0030,773
JKT,011,7411,MED,PK-GIH,CGK,06052025,0200,06052025,1225,773
JKT,012,7312,CGK,PK-GIH,MED,06052025,0840,06052025,1810,773
JKT,012,7412,MED,PK-GIH,CGK,06052025,1940,07052025,0605,773
JKT,013,7313,CGK,PK-GIH,MED,06052025,1330,06052025,2300,773
JKT,013,7413,MED,PK-GIH,CGK,07052025,0030,07052025,1055,773
JKT,014,7314,CGK,PK-GIH,MED,06052025,1930,07052025,0500,773
JKT,014,7414,MED,PK-GIH,CGK,07052025,0630,07052025,1655,773
JKT,015,7315,CGK,PK-GIH,MED,07052025,1500,08052025,0030,773
JKT,015,7415,MED,PK-GIH,CGK,08052025,0200,08052025,1225,773
JKT,016,7316,CGK,PK-GIH,MED,07052025,1900,08052025,0430,773
JKT,016,7416,MED,PK-GIH,CGK,08052025,0600,08052025,1625,773
JKT,017,7317,CGK,PK-GIH,MED,08052025,0205,08052025,1135,773
JKT,017,7417,MED,PK-GIH,CGK,08052025,1335,08052025,0000,773
JKT,018,7318,CGK,PK-GIH,MED,08052025,1830,09052025,0400,773
JKT,018,7418,MED,PK-GIH,CGK,09052025,0530,09052025,1555,773
JKT,019,7319,CGK,PK-GIH,MED,08052025,2230,09052025,0800,773
JKT,019,7419,MED,PK-GIH,CGK,09052025,0930,09052025,1955,773
JKT,020,7320,CGK,PK-GIH,MED,09052025,1700,10052025,0230,773
JKT,020,7420,MED,PK-GIH,CGK,10052025,0400,10052025,1425,773
JKT,021,7321,CGK,PK-GIH,MED,09052025,2140,10052025,0710,773
JKT,021,7421,MED,PK-GIH,CGK,10052025,0840,10052025,1905,773
JKT,022,7322,CGK,PK-GIH,MED,10052025,0615,10052025,1545,773
JKT,022,7422,MED,PK-GIH,CGK,10052025,1715,11052025,0340,773
JKT,023,7323,CGK,PK-GIH,MED,11052025,0230,11052025,1200,773
JKT,023,7423,MED,PK-GIH,CGK,11052025,1330,11052025,2355,773
JKT,024,7324,CGK,PK-GIH,MED,11052025,1500,12052025,0030,773
JKT,024,7424,MED,PK-GIH,CGK,12052025,0200,12052025,1225,773
JKT,025,7325,CGK,PK-GIH,MED,12052025,0715,12052025,1645,773
JKT,025,7425,MED,PK-GIH,CGK,12052025,1815,13052025,0440,773
JKT,026,7326,CGK,PK-GIH,MED,13052025,0100,13052025,1030,773
JKT,026,7426,MED,PK-GIH,CGK,13052025,1230,13052025,2255,773
JKT,027,7327,CGK,PK-GIH,MED,13052025,1730,14052025,0300,773
JKT,027,7427,MED,PK-GIH,CGK,14052025,0430,14052025,1455,773
JKT,028,7328,CGK,PK-GIH,MED,15052025,1500,16052025,0030,773
JKT,028,7428,MED,PK-GIH,CGK,16052025,0200,16052025,1225,773
JKT,029,7329,CGK,PK-GIH,JED,16052025,1745,17052025,0330,773
JKT,029,7429,JED,PK-GIH,CGK,17052025,0500,17052025,1540,773
JKT,030,7330,CGK,PK-GIH,JED,16052025,2345,17052025,0930,773
JKT,030,7430,JED,PK-GIH,CGK,17052025,1100,17052025,2140,773
JKT,031,7331,CGK,PK-GIH,JED,17052025,2145,18052025,0730,773
JKT,031,7431,JED,PK-GIH,CGK,18052025,0900,18052025,1940,773
JKT,032,7332,CGK,PK-GIH,JED,18052025,1445,19052025,0030,773
JKT,032,7432,JED,PK-GIH,CGK,19052025,0200,19052025,1240,773
JKT,033,7333,CGK,PK-GIH,JED,19052025,0145,19052025,1130,773
JKT,033,7433,JED,PK-GIH,CGK,19052025,1300,19052025,2340,773
JKT,034,7334,CGK,PK-GIH,JED,19052025,1845,20052025,0430,773
JKT,034,7434,JED,PK-GIH,CGK,20052025,0600,20052025,1640,773
JKT,035,7335,CGK,PK-GIH,JED,20052025,0900,20052025,1845,773
JKT,035,7435,JED,PK-GIH,CGK,20052025,2100,21052025,0740,773
JKT,036,7336,CGK,PK-GIH,JED,21052025,0115,21052025,1100,773
JKT,036,7436,JED,PK-GIH,CGK,21052025,1230,21052025,2310,773
JKT,037,7337,CGK,PK-GIH,JED,21052025,1245,21052025,2230,773
JKT,037,7437,JED,PK-GIH,CGK,22052025,0000,22052025,1040,773
JKT,038,7338,CGK,PK-GIH,JED,22052025,0515,22052025,1500,773
JKT,038,7438,JED,PK-GIH,CGK,22052025,1630,23052025,0310,773
JKT,039,7339,CGK,PK-GIH,JED,22052025,1715,23052025,0300,773
JKT,039,7439,JED,PK-GIH,CGK,23052025,0430,23052025,1510,773
JKT,040,7340,CGK,PK-GIH,JED,23052025,1215,23052025,2200,773
JKT,040,7440,JED,PK-GIH,CGK,23052025,2330,24052025,1010,773
JKT,041,7341,CGK,PK-GIH,JED,24052025,0015,24052025,1000,773
JKT,041,7441,JED,PK-GIH,CGK,24052025,1130,24052025,2210,773
JKT,042,7342,CGK,PK-GIH,JED,25052025,0150,25052025,1135,773
JKT,042,7442,JED,PK-GIH,CGK,25052025,1335,26052025,0015,773
JKT,043,7343,CGK,PK-GIH,JED,25052025,0615,25052025,1600,773
JKT,043,7443,JED,PK-GIH,CGK,25052025,1730,26052025,0410,773
JKT,044,7344,CGK,PK-GIH,JED,26052025,0815,26052025,1800,773
JKT,044,7444,JED,PK-GIH,CGK,26052025,1930,27052025,0610,773
JKT,045,7345,CGK,PK-GIH,JED,26052025,2015,27052025,0600,773
JKT,045,7445,JED,PK-GIH,UPG,27052025,0730,27052025,1920,773
JKT,046,7346,CGK,PK-GIH,JED,28052025,0115,28052025,1100,773
JKT,046,7446,JED,PK-GIH,CGK,28052025,1230,28052025,2310,773
JKT,047,7347,CGK,PK-GIH,JED,29052025,0815,29052025,1800,773
JKT,047,7447,JED,PK-GIH,CGK,29052025,1930,30052025,0610,773
